note,care of,reference,sl,client,pol,pod,booking no,qty,type,status,loading,eta,etd
UCR 5625294701010020013,LOAD 07/04,260401/CAST/RAR/NRBI,MSC,CASTLE/RAEREX,ALEX,NAIROBI,EBKGQ001E02C / MEDUOU791606,1,20 DRY,,load 18/5 mariam,,
,,260433/SOTI/ALHUSEIN/MSC,MSC,SOTI/HUSEIN,ALEXANDRIA,TUNIS,EBKG16636947,3,40 HC,,,,
mariam,8/5/2026 - 9/5,260434/DAR/DOH/HPL/3,HAPAG,eldoha,PORTSAID,DAR ES SALAM,28809717,8,20 DRY,Loaded,wait shipper payment,,
,,260437/NAI/RARX/CAST,MSC,CASTLE/RAEREX,DAMIETTA,NAIROBI,EBKGQ001ECBC,1,40 HC,,,,
,23/05,260438/DJIB/WEF/20,ISS,WEFAK,SOKHNA,DJIBOUTI,,1,20 DRY,,,,
,31/5 - 4/6,260441/CMB/CMA/LEHAVRE/1,CMA,CMB,ALEXANDRIA,LE HAVRE,CFA0910972,,,,,,
,24/5 - 29/5,260442/CMB/CMA/LEHAVRE/2,CMA,CMB,ALEXANDRIA,LE HAVRE,CFA0911116,,,,,,
,,260446/GIF/AIR/NBO,,,,,,,,,,,
vessel 31/5,loading 10/5,260448/TOAM/MRSK/3,MAERSK,ZELIHA/CAPI,ALEXANDRIA,TOAMASINA,270205712,1,20 HC,,,,
loading 19/5/trans/customs,vessel 25/5,260504/NILE/LIMAS/CMA,CMA,ELNILE PIPE,ALEX,LIMASOL,CFA0913558,1,40 HC,,,,
loading 20/05,,260513/CHIT/NUR/EDD,CMA,EDD/NURUL,ALEX,CHITTAGONG,CFA0918244,1,20 DRY,,,,
"loading 20/05 switch bl - ref EBKG16925415",12/06,260514/ALLWAYS/MARBLE/TAR,MSC,One world/all ways,ALEX,SINES,EBKG17142312,2,20 DRY,,,,
loading 20/05 switch bl,,260516/BARC/MRSK,MAERSK,ORION / BASSAM,ALEX,BARCELONA,270699079,1,40 HC,,,,
mohamed salah,,260519/MOM/EV/ALOK,ALOKA/EV,,ALEX,MOMBASA,,1,40 HC,,,,
load 21/5,24/5,260521/WEF/MOM/25,MSC,WEFAK,DAMIETTA,MOMBASA,EBKGQ0020402,,,,,,
,,260522/LOS/AIR/CASTL,,,,,,,,,,,
,24/5,260523/SSB/TARROS/1,TARROS,SSB,ALEX,SALERNO,615TALESAL005Y26,1,20 HC,,FRT 350+45$,,
,LOAD 4/6,260524/WEF/TRANS/1,MAERSK,WEFAK,PORT SAID,BALTIMORE,271110741,1,40 HC,,,,
,LOAD 4/6,260525/WEF/TRANS/2,MAERSK,WEFAK,PORT SAID,BALTIMORE,271110625,1,40 HC,,,,
,LOAD 4/6,260526/WEF/TRANS/3,MAERSK,WEFAK,PORT SAID,BALTIMORE,271110583,1,40 HC,,,,
,LOAD 4/6,260527/WEF/TRANS/4,MAERSK,WEFAK,PORT SAID,BALTIMORE,271110499,1,40 HC,,,,
,28/06,260601/CMB/MRSK,MAERSK,CMB,ALEX,FOS,271551609,,,,,,
,28/06,260602/CMB/MRSK/2,MAERSK,CMB,ALEX,FOS,271551784,,,,,,
SG-2606-4027,,260603/GIF/NBO/AIR,GIFILIAN,,,,,,,,,,
SG-2605-9221,,260604/VEN/MSC,MSC,ALFREDO,DEKHEILA,VENICE,,1,20 DRY,,,,
